id,produto,quantidade,preco,data
1,Lápis,10,1.50,18/09/2024
2,Caneta,15,2.00,01/09/2024
3,Caderno,5,15.00,02/08/2024
4,Borracha,20,0.99,03/09/2024
5,Livro Didático,2,45.00,04/09/2024
6,Régua,5,3.50,05/09/2024
7,Compasso,3,12.99,06/09/2024
8,Mochila,1,75.00,07/09/2024
9,Estojo,2,20.00,09/09/2024
10,Cola,10,5.00,08/08/2024
11,Apontador,15,2.50,10/08/2024
12,Papel Sulfite,4,18.00,11/09/2024
13,Lápis de Cor,3,22.00,12/09/2024
14,Canetinha,2,25.00,13/09/2024
15,Caderno de Desenho,4,12.99,14/09/2024
16,Pasta,10,7.50,15/09/2024
17,Grampeador,1,18.50,16/09/2024
18,Clips,100,0.10,17/09/2024
19,Calculadora,1,35.00,18/09/2024
20,Papel Cartão,6,5.50,19/09/2024
21,Fita Adesiva,3,3.99,20/09/2024
22,Tesoura,2,7.50,21/09/2024
23,Bloco de Notas,10,4.99,22/09/2024
24,Marca Texto,5,6.00,23/09/2024
25,Grampo para Grampeador,50,1.50,24/09/2024
26,Transferidor,3,4.50,25/09/2024
27,Corretivo,4,5.99,26/09/2024
28,Fichário,1,39.99,27/09/2024
29,Durex,6,2.99,29/09/2024
30,Atlas Geográfico,1,60.00,14/09/24
